Category/Requirement,Details/Status
**A. Tender Overview**
Tender Notice No.,DGVCL/SP/2617/3C LT AB Cable (Critical Item) / Tender ID-236894
Procuring Entity,Dakshin Gujarat Vij Company Limited (DGVCL)
Item Description,Supply of 3 Core LT AB Cable
Tentative Quantity,200 KM
Last Date of Online Submission,"20.11.2025, 18:00 Hrs."
Technical Bid Opening,"21.11.2025, 11:00 Hrs. (Preliminary) / 12:00 Hrs. (Technical)"
Tentative Price Bid Opening,"08.12.2025, 11:00 Hrs."
Tender Fee,"Rs. 8,850.00 (Non-refundable)"
EMD (Non-MSME),"Rs. 2,50,000.00"
EMD (MSME),"Rs. 1,50,000.00"
Delivery Period,"7 months (equal monthly basis), starting 45 days after LOA"
Agreement Execution Period,20 days from LOA receipt
**B. Eligibility Evaluation**
Registered Manufacturer,"**Required:** Yes <br> **Asian Wires Status:** Yes (Private Limited Company, Manufacturer since 2008)"
Valid GST Registration,"**Required:** Yes <br> **Asian Wires Status:** Yes (GSTIN: 24AABCA1234F1Z5, Valid since July 2017)"
Valid Vendor Registration (GUVNL/Subsidiaries),"**Required:** Yes (prior to technical bid opening, or applied before publication & valid before price bid) <br> **Asian Wires Status:** Yes (Registered with PGVCL, a GUVNL subsidiary; VR No: PGVCL/VR/2015/0847, Valid until Mar 2027)"
BIS License (IS: 14255/1995),"**Required:** Yes (valid up to delivery) <br> **Asian Wires Status:** Yes (CM/L-9876544-E for 3C×50mm²+1C×25mm²+35mm² XLPE AB Cable, Valid until Oct 2026)"
"Type Test Reports (<7 years, Govt. approved lab)","**Required:** Yes <br> **Asian Wires Status:** Yes (CPRI/TC/2023/6789 for 3C×50mm²+1C×25mm²+35mm² XLPE AB Cable, Test Date: June 2023, Valid for 7 years, CPRI Bangalore is NABL Accredited/Govt. Approved)"
Audited Accounts (Last 3 years),"**Required:** Yes <br> **Asian Wires Status:** Yes (Annual Turnover Rs. 58.90+ Cr FY23-24, implies availability and compliance)"
Factory License,"**Required:** Yes <br> **Asian Wires Status:** Yes (GL/FAC/2012/0891, Valid, renewed annually)"
ISO 9001:2015 Certification,"**Required:** Desirable (High Quality ISO) <br> **Asian Wires Status:** Yes (ISO 9001:2015, Valid until June 2027, Scope covers AB Cables)"
MSME Status (Gujarat State),"**Required:** For EMD benefits <br> **Asian Wires Status:** No (Non-MSME, classified as Medium Enterprise)"
Declaration CERTIFICATE-M (Country Boundary),**Required:** Yes (Notarized) <br> **Asian Wires Status:** Assumed compliant (standard declaration)
Conflict of Interest Declaration (Appendix-4),**Required:** Yes (Notarized on Rs. 300 stamp paper) <br> **Asian Wires Status:** Assumed compliant (standard declaration)
Power of Attorney,**Required:** Yes (Notarized on Rs. 300 stamp paper) <br> **Asian Wires Status:** Assumed compliant (standard document)
Digital Certificate (Class-III),**Required:** Yes <br> **Asian Wires Status:** Assumed compliant (standard requirement for e-tendering)
Experience in similar supply to Electricity Board,"**Required:** Yes <br> **Asian Wires Status:** Yes (Registered with PGVCL for AB Cables since 2015, implies extensive experience)"
Financial Turnover (Last 3 years),**Required:** Audited Accounts <br> **Asian Wires Status:** Rs. 58.90+ Crores (FY 2023-24)
**C. Tender Product Requirements**
Cable Type,LT Aerial Bunched (AB) Cable
Core Configuration,3C x 50 mm² + 1C x 25 mm² (Neutral) + 35mm² (Messenger)
Insulation Type,XLPE
Rated Voltage,1100 Volts
Applicable Standards,"IS – 14255/1995, IS – 8130/1984, IS – 398/Pt.IV/1994, IS – 10418/1982, IS – 7098(Part-II):85"
Conductor Material (Phase/Neutral),XLPE insulated Aluminum
Messenger Wire Material,"Bare heat-treated aluminum alloy (0.5% Mg, 0.5% Si), 7 strands"
Insulation Thickness (min),1.5 mm (for 50mm² phase conductor)
Conductor Tensile Strength (min),90 N/mm²
Cable Length per Drum (Standard),500 metres (+ 5%)
Drum Markings (Mandatory),"Manufacturer's name, Trade mark, Drum number, Conductor size, Messenger size, Voltage grade, Lengths/pieces, Gross/Net mass, ISI mark"
Cable Embossing (Mandatory),"DGVCL, 1100 Volts, IS: 14255/1995, Year of manufacture, Trade Mark"
**D. Matched Company SKU Specifications**
Company SKU Code,AW-ABC-3C-XLPE-50-25-35
Company Product Name,Three Core XLPE AB Cable (3C×50mm²+1C×25mm²+35mm² XLPE)
Company BIS License No.,CM/L-9876544-E (for IS 14255:1995)
Company BIS License Validity,Valid until Oct 2026
Company Type Test Report No.,CPRI/TC/2023/6789
Company Type Test Report Date,June 2023
Company Type Test Report Lab,"CPRI, Bangalore (NABL Accredited & Govt. Approved)"
Company Type Test Report Validity,"Valid for 7 years from June 2023 (i.e., until June 2030)"
Company Production Capacity (for this type),"1,800 KM/year (for ≥50mm² 3C XLPE AB Cables)"
Available Buffer Capacity,"2,720 KM/year (overall buffer capacity)"
**E. Pricing Computation**
SKU Code,AW-ABC-3C-XLPE-50-25-35
Order Qty (km),200
Unit Material Cost (Rs/km),"66,177"
Conversion Cost (Rs/km),"6,060"
Logistics Cost (Rs/km),166
Overhead (Rs/km),"5,779"
Total Cost (Rs/km),"78,182"
Economy Factor,0.975
Adjusted Cost (Rs/km),"76,228"
Final Price (Rs/km),"85,375"
Total Price (Rs),"1,70,75,010"
